Protein adsorption / ng cm-2,Protein MW (kDa),Protein Charge (pI),Protein conc. (mg/mL),Thickness (nm),Predicted Zeta (mV),Predicted CA (deg),MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,
992,66.5,4.7,1,13.8,16.319553,16.0009027,10.78403534,10.78403534,0.313101852,-0.313101852,0.443432444,9.818181818,157.213,142.093,157.1102787,64,0,0.332650192,-0.460989985,0.460989985,0.332650192,1.545454545,2.090909091,2.454545455,16.53342297,10.35873502,2.010813836,-2.087444994,1.907199841,-2.19707472,5.863897539,-0.138693621,1.860991685,3.397218039,152.1710479,8.853371151,7.38503052,7.38503052,5.03658126,3.511131773,3.511131773,2.719525202,2.719525202,1.120118822,1.120118822,0.444115255,0.444115255,-0.83,182.3771851,10.17,4.90576909,5.606205016,67.6391438,9.636772685,6.606881965,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,21.01908117,12.11786094,0,9.531400138,5.969305288,0,4.899909731,0,6.9237372,27.24698234,12.15204021,0,0,0,0,0,0,38.11619735,9.531400138,0,6.9237372,12.15204021,0,0,0,29.54,0,4.794537184,0,5.969305288,12.17998649,6.544756406,0,6.9237372,18.9952537,6.578935684,4.736862954,4.83412037,0,12.73413643,0,0.447922336,-0.313101852,0,0,6.279852608,3.850403439,0.625,11,0,3,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0.6673,44.327,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
396.5,66.5,4.7,1,19.5,7.166369,65.9019757,65.9019757,11.12374622,11.12374622,0,-0.303275699,0.345612681,10.5,248.774,225.59,248.1417317,95,1,0.332823684,-1,1,0.332823684,1.25,1.6875,2,35.45300072,10.21573655,2.229592663,-2.190695969,2.005631608,-2.996003356,5.863971073,-0.138682916,2.09712719,0,219.05865,12.00807169,10.91769553,11.67362448,6.857948465,5.442503438,5.442503438,4.341571742,4.341571742,2.257685654,2.257685654,1.479632898,1.479632898,-0.54,1170.196972,17.84251028,8.593497085,6.854766503,105.2520055,17.14389611,18.69056362,6.544756406,0,0,5.969305288,0,4.794537184,4.899909731,0,6.578935684,34.618686,5.57310453,0,21.9384333,5.969305288,0,4.899909731,0,46.70236766,13.15163837,12.15204021,0,0,17.30694289,0,0,0,31.20462532,9.531400138,0,34.618686,12.15204021,0,0,0,32.2,0,4.794537184,0,18.37633845,24.26366815,6.544756406,0,6.9237372,0,39.17379421,4.736862954,5.05412037,0,13.40718065,0,0.454299887,-0.303275699,0.932463152,0,14.95521164,0,0.75,16,0,3,0,0,0,0,0,0,3,0,4,6,0,0,0,0,-0.9334,63.046,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400.6,66.5,4.7,1,10.3,-9.967725,74.52604702,10.42106481,10.42106481,0.3125,-0.3125,0.397005598,8.25,114.144,104.064,114.0680796,46,0,0.332592718,-0.462648587,0.462648587,0.332592718,1.75,2.25,2.375,16.53218408,10.36148468,1.975608435,-1.962942634,1.891048824,-2.027578832,5.863553391,-0.137894694,1.670925436,3.490453067,105.0961628,6.568914101,5.230710143,5.230710143,3.680739213,2.507583597,2.507583597,1.500800266,1.500800266,0.623893629,0.623893629,0.254294169,0.254294169,-0.79,45.11498676,7.21,3.242623437,2.394521355,49.1494259,4.736862954,0,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,13.8474744,5.57310453,6.606881965,9.531400138,5.969305288,0,0,0,13.8474744,6.606881965,12.15204021,0,0,0,0,0,0,12.57618725,9.531400138,0,13.8474744,12.15204021,0,0,0,26.3,0,4.794537184,0,5.969305288,12.17998649,0,0,13.8474744,0,11.31579864,0,4.564814815,0,10.42106481,0,0.450787037,-0.3125,0,0,7.209166667,0,0.5,8,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.1256,31.447,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
391.5,66.5,4.7,1,15.2,-29.94392,82.06970218,10.63148148,10.63148148,0.047037037,-0.314814815,0.415981152,9.333333333,128.171,116.075,128.0837296,52,0,0.332859164,-0.459632716,0.459632716,0.332859164,1.555555556,2,2.111111111,16.54193599,10.34275719,2.031835434,-2.053118557,1.952412578,-2.10697137,5.86507473,-0.142017085,1.63437415,3.647424692,124.8778406,7.439157589,6.100953631,6.100953631,4.03658126,2.90220448,2.90220448,2.234393485,2.234393485,0.69120206,0.69120206,0.314668407,0.314668407,-0.79,60.47184355,8.21,3.27792645,3.764785021,55.51436801,4.736862954,0,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,20.7712116,5.57310453,6.103966388,9.531400138,5.969305288,0,0,0,26.87517799,0,12.15204021,0,0,0,0,0,0,12.07327168,9.531400138,0,20.7712116,12.15204021,0,0,0,26.3,0,4.794537184,0,12.07327168,5.57310453,0,0,20.7712116,0,6.578935684,4.736862954,4.773148148,0,10.63148148,0,0.44787037,-0.314814815,0,-0.047037037,8.676018519,0,0.571428571,9,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.5141,36.042,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8.9,66.5,4.7,1,20.2,-18.314512,42.47498491,11.14106166,11.14106166,0.204506453,-0.40940323,0.087475634,11.11764706,496.594,452.242,496.2883622,202,0,0.332687275,-0.459899141,0.459899141,0.332687275,0.470588235,0.705882353,0.941176471,16.58112812,10.36039749,2.014074742,-2.085406367,1.914955905,-2.152842152,5.863896426,-0.140163634,2.829041425,3.051797431,448.6323114,24.95369041,20.92576004,20.92576004,16.68073921,11.61620239,11.61620239,6.808028042,6.808028042,3.845143356,3.845143356,2.100203145,2.100203145,-1.15,20841454.82,32.85,28.08982449,27.09723426,203.3753489,47.36862954,6.606881965,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,6.9237372,12.68290207,112.3169934,52.16316672,5.969305288,0,0,0,6.9237372,126.0336729,12.15204021,0,0,0,0,0,0,132.0029782,52.16316672,0,6.9237372,12.15204021,0,0,0,109.37,5.969305288,4.794537184,0,6.606881965,117.8900979,0,0,14.03353474,0,6.578935684,47.36862954,52.74472597,0,11.14106166,0,0.37302607,-0.40940323,0,0,13.84288645,1.641036416,0.869565217,34,0,11,0,0,0,0,0,0,11,0,11,28,0,0,0,0,0.8849,124.201,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
288.6,66.5,4.7,1,14,-10.28216,65.85544594,10.18981481,10.18981481,0.347222222,-0.347222222,0.35850815,7.714285714,100.117,92.053,100.0524295,40,0,0.332326985,-0.465674779,0.465674779,0.332326985,1.714285714,2.142857143,2.142857143,16.52333817,10.36531232,1.950056343,-1.910411856,1.865221625,-1.983996812,5.862236422,-0.135499708,1.64571137,3.577919926,94.25327665,5.86180732,4.523603362,4.523603362,3.180739213,1.920049972,1.920049972,1.27191171,1.27191171,0.533857118,0.533857118,0.174230856,0.174230856,-0.79,27.9770933,6.21,2.394521355,1.977754319,42.78448378,4.736862954,0,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,6.9237372,5.57310453,7.109797541,9.531400138,5.969305288,0,0,0,6.9237372,7.109797541,12.15204021,0,0,0,0,0,0,13.07910283,9.531400138,0,6.9237372,12.15204021,0,0,0,26.3,0,4.794537184,0,5.969305288,5.57310453,0,7.109797541,6.9237372,0,11.31579864,0,4.273148148,0,10.18981481,0,0.43287037,-0.347222222,0,0,4.954351852,1.33037037,0.4,7,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0.7355,26.83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.5,66.5,4.7,1,24.6,-11.198844,61.40074408,10.64032785,10.64032785,0.293842593,-0.363842593,0.331627628,9,144.17,132.074,144.0786442,58,0,0.332687273,-0.45989944,0.45989944,0.332687273,1.5,2.1,2.5,16.55378093,10.3605156,1.999484078,-2.010304584,1.901396563,-2.090378718,5.863829915,-0.13965956,1.880413032,3.312469478,128.812909,7.983127663,6.346065215,6.346065215,4.680739213,2.997400241,2.997400241,1.909048557,1.909048557,0.869075612,0.869075612,0.340897523,0.340897523,-0.83,133.5093252,9.17,4.994841329,4.089266085,60.62791324,9.473725908,6.606881965,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,6.9237372,12.68290207,6.606881965,14.26826309,5.969305288,0,0,0,6.9237372,20.32356147,12.15204021,0,0,0,0,0,0,26.29286676,14.26826309,0,6.9237372,12.15204021,0,0,0,35.53,0,4.794537184,0,5.969305288,18.78686846,0,0,14.03353474,0,16.05266159,0,9.345445956,0,10.64032785,0,0.41305839,-0.363842593,0,0,5.748142007,1.55020172,0.571428571,10,0,3,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0.7521,37.649,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
236.6,66.5,4.7,1,11.962,-18.940662,81.8446148,10.69588341,10.69588341,0.283842593,-0.283842593,0.340246132,9,142.198,128.086,142.0993797,58,0,0.332602811,-0.462354562,0.462354562,0.332602811,1.6,2.2,2.6,16.53273874,10.32875005,1.997138912,-2.005900313,1.939309872,-2.050506108,5.863754739,-0.1385373,1.880413032,3.312469478,127.2192809,7.983127663,6.644923706,6.644923706,4.680739213,3.507583597,3.507583597,2.269802668,2.269802668,1.079509092,1.079509092,0.432403874,0.432403874,-0.79,133.5093252,9.21,5.031464655,4.125077866,61.87931013,4.736862954,0,0,0,0,5.969305288,0,4.794537184,0,0,19.92349451,13.34455882,5.57310453,6.606881965,9.531400138,5.969305288,0,0,0,26.68911765,6.606881965,12.15204021,0,0,0,0,0,0,12.57618725,9.531400138,0,26.68911765,12.15204021,0,0,0,26.3,0,4.794537184,0,5.969305288,12.17998649,12.84164325,0,6.9237372,0,13.50267288,4.736862954,4.80537037,0,10.69588341,0,0.468613946,-0.283842593,0,1.974692933,7.672615268,0,0.625,10,0,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1.9058,40.681,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
36.3,66.5,4.7,1,16.822,-12.367573,47.56197349,10.46884259,10.46884259,0.047314815,-0.454583333,0.435002054,8.666666667,130.143,120.063,130.0629942,52,0,0.332687122,-0.459909612,0.459909612,0.332687122,1.777777778,2.333333333,2.666666667,16.53934772,10.36064897,1.993110891,-1.986162751,1.894033412,-2.077116062,5.863802489,-0.139386855,1.822759081,3.394048948,117.4713804,7.276020882,5.38503052,5.38503052,4.180739213,2.616704582,2.616704582,1.639856075,1.639856075,0.672905227,0.672905227,0.261541069,0.261541069,-0.83,80.20139956,8.17,4.089266085,3.727880056,53.94365965,9.843390349,6.606881965,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,6.9237372,5.57310453,6.606881965,14.63792753,5.969305288,0,0,0,6.9237372,13.21376393,12.15204021,0,0,0,0,0,0,24.28959661,9.531400138,0,6.9237372,12.15204021,0,0,0,46.53,5.969305288,4.794537184,0,13.21376393,5.57310453,0,0,6.9237372,0,11.31579864,5.106527395,4.46412037,0,10.46884259,8.190033069,0.350416667,-0.454583333,0,0,4.814503968,0,0.5,9,1,3,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0.098,32.8588,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16.9,66.5,4.7,1,17.9,-8.504514,51.628971,11.00013182,11.00013182,0.22799821,-0.395317034,0.281600002,10.42105263,276.329,252.137,276.1572885,112,0,0.332687275,-0.459899141,0.459899141,0.332687275,0.842105263,1.263157895,1.684210526,16.57007043,10.36039811,2.011064429,-2.069215468,1.91151817,-2.141269264,5.863858317,-0.140159404,2.392440594,3.067479512,241.2879409,14.34708869,11.81345077,11.81345077,9.180739213,6.229451048,6.229451048,3.746165864,3.746165864,1.985101016,1.985101016,1.000637131,1.000637131,-0.95,12921.57165,18.05,13.48093592,13.28460411,114.1582016,23.68431477,6.606881965,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,6.9237372,12.68290207,46.24817375,28.47885195,5.969305288,0,0,0,6.9237372,59.96485326,12.15204021,0,0,0,0,0,0,65.93415855,28.47885195,0,6.9237372,12.15204021,0,0,0,63.22,5.969305288,4.794537184,0,6.606881965,51.82127828,0,0,14.03353474,0,6.578935684,23.68431477,25.37344124,0,11.00013182,0,0.385931791,-0.395317034,0,0,8.8393385,1.629807019,0.769230769,19,0,6,0,0,0,0,0,0,6,0,6,13,0,0,0,0,0.8019,70.106,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,
